ID (blank = new site),Marker Group (blank = own dot),Sort Order (left rail; blank = alphabetical),Region,Latitude,Longitude,Site Name,Short Name,City,Country,Employees,Focus Tag,Core Modality,Intro Headline,Intro Copy (Overview),Contact Headline,Address,Interior Page Image,Virtual Tour Video URL (blank = no Virtual Tour tab),Pillar 1,Pillar 2,Pillar 3,Pillar 4,Capability 1,Capability 1 Icon,Capability 1 Detail (accordion paragraph),Capability 2,Capability 2 Icon,Capability 2 Detail (accordion paragraph),Capability 3,Capability 3 Icon,Capability 3 Detail (accordion paragraph),Capability 4,Capability 4 Icon,Capability 4 Detail (accordion paragraph),Capability 5,Capability 5 Icon,Capability 5 Detail (accordion paragraph),Capability 6,Capability 6 Icon,Capability 6 Detail (accordion paragraph)
forge,,5,americas,39.882,-83.102,Forge Biologics,Gene Therapy,"Columbus, Ohio",United States,400,AAV,AAV,Accelerating the Future of Gene Therapy.,"Forge Biologics brings your gene therapy program from concept to clinic under one roof. Our Grove City campus unites research-scale discovery, process development, and cGMP manufacturing so your AAV therapy moves forward without the handoffs that slow programs down.",Let's Move Your Program Forward.,"3900 Gantz Road, Grove City, OH 43123, USA",assets/photos/forge%20building%20.jpg,https://www.forgebiologics.com/wp-content/uploads/2026/01/Journey_Of_Hope2026.mp4,Scientific Innovation,Specialized Expertise,Operational Excellence,,AAV Research-Scale Production,microscope,"Blaze research-grade AAV production at 1–40L is ideal for discovery work like material generation for proof-of-concept studies or assessing vector manufacturability. With a scalable process and Forge’s proprietary technologies, it gives early-stage developers confidence in a seamless path to cGMP.",AAV Process Development,molecule,"Forge takes a flexible approach to meet each program where it is, from comprehensive process development to our established platform with targeted, product-specific optimizations, or technology transfer of an existing process. Each path is designed to support performance, scalability, and cGMP readiness.",AAV cGMP Manufacturing,bioreactor,"Forge’s cGMP production—ranging from 50 to 5,000L—is designed for scalability, efficiency, and repeatable manufacturing success. Backed by deep technical expertise, the team leverages single-use technologies and optimized closed-system processes to produce larger batches with high throughput and minimal variability.",Analytical Development,microscope,"At Forge, we offer 30+ in-house AAV assays, including potency, rcAAV, mass spectrometry, and more to accelerate characterization and release. The integrated QC and QA framework, supported by cGMP compliance and connected systems, ensures consistent, compliant quality manufacturing from start to finish.",AAV Fill-Finish,vial,"Forge offers a range of fill-finish services to meet the needs of your program. We provide drug product fill options across semi-automated and automated operations, designed to accommodate varying batch sizes, container types, and fill volumes to meet your product requirements.",,,
belgium,,1,europe,51.001,3.885,Small Molecule,Small Molecule & Peptides,"Wetteren, Belgium
Balen, Belgium",Belgium,850,"API, HPAPI, & Continuous Flow Chemistry",API,Complex Chemistry at Commercial Scale.,"Our Wetteren and Balen sites are where demanding small-molecule chemistry becomes reliable supply. From first process development through commercial volumes — including high-potency APIs and continuous flow — we engineer routes that are safe, efficient, and built to scale.",Scale your API program with our Belgium team.,"Cooppallaan 91, B-9230 Wetteren, Belgium
Japanse-Kerselarenlaan 1, 2490 Balen, Belgium",assets/photos/ajinomoto-drone.jpg,players.brightcove.net/6050660078001/default_default/index.html?videoId=6339493488112,Specialized Expertise,Rigorous Quality Commitment,Operational Excellence,,API Process Development,benzene,"Route development, process design, DoE, analytical development and safety and sustainability assessments to create robust, scalable processes.",Phase I & II Production,bioreactor,"Projects are seamlessly managed across batch and continuous flow, including process intensification where beneficial",High Potency API Manufacturing,vial,"Dedicated HPAPI suites — physically separated from non-potent operations — combine advanced engineering controls, rigorous operational procedures and specialized operator training into one integrated protection system.",Continuous Flow Chemistry,molecule,"Our current flow platform technologies include specialized expertise in hydrogenation, photochemistry, cryogenic chemistry and continuous processing using CSTR-based architectures.",,,,,,
osaka,,3,japan,34.836,135.561,"GeneDesign, Inc.",Oligonucleotide,"Osaka, Japan",Japan,200,Oligo Synthesis,Oligo,From Vision to Reality.,"Our Gene Design, Inc. facility supports oligonucleotide manufacturing from research through commercial scale by combining the flexibility and broad modality support of solid-phase synthesis.",Explore oligo science with our Gene Design team.,"7-7-29 Saitoasagi, Ibaraki, Osaka 567-0085, Japan",assets/photos/AJI%20Osaka%202nd%20edit.14_54_01_13.jpg,https://vimeo.com/1174154077/cee1f72eaa?fl=ip&fe=ec,Scientific Innovation,Specialized Expertise,Sustainability,,Research-Scale Production,benzene,"We manufacture and supply ASOs, siRNAs and variety of modified oligonucleotides, produced under stringent quality spec to support research programs that require reliable material.",Clinical Supply,bioreactor,"Ajinomoto Bio-Pharma Services provides a full-service package spanning manufacturing, process and analytical development, from the first GMP batch through late-stage clinical programs, helping advance candidates efficiently.",Commercial cGMP Production,vial,"We support customers as a long-term partner, planning and executing process characterization packages and PPQ activities required for regulatory approval.",Regulatory Support,molecule,"For scale-up and execution, we provide technology transfer documentation, including process descriptions, batch records, and risk assessments, to enable smooth progression across manufacturing stages.",,,,,,
ajicap,R&D,7,japan,35.5186,139.7363,,ADC Services,"Kawasaki, Japan",Japan,300,Site-Specific Conjugation,ADC,ADC & Bioconjugation CDMO Services at Scale.,"AJICAP® site-specific conjugation is an innovative direct chemical site-specific conjugation method for intact native antibodies, offering significant advantages for next generation ADCs.",Start a custom manufacturing conversation with our AJICAP team.,"1-1 Suzuki-cho, Kawasaki-ku, Kawasaki-shi, Kanagawa 210-8681, Japan",assets/photos/Kawasaki%20R%26D%20%28ABL%29%20Building_2.jpg,https://vimeo.com/1174497304/861f047299?fl=ip&fe=ec,Operational Excellence,Rigorous Quality Commitment,Specialized Expertise,,Strain Development,microscope,"Feasibility studies and sample preparation using AJICAP™ enable rapid screening of antibodies, payloads, conjugation conditions, and drug-to-antibody ratio (DAR) to identify optimal conjugate designs.",Analytical Development,microscope,"Our analytical characterization capabilities support feasibility studies and process development by evaluating drug-to-antibody ratio (DAR), conjugation site, purity, aggregation, stability, and other critical attributes of ADCs and bioconjugates, enabling rapid assessment and optimization throughout research development.",Process Development,vial,"We support antibody conjugation process development and optimization to establish reproducible, scalable processes using AJICAP™ technology, backed by in-house analytical characterization.",Technology Transfer,molecule,"For programs advancing to manufacturing, we coordinate technology transfer with qualified global CDMO partners while continuing to provide AJICAP™ technical expertise. Customers retain ownership of their product-specific manufacturing processes and intellectual property.",,,,,,
tokai,,4,japan,34.965,136.624,,Peptide Synthesis,"Tokai, Japan",Japan,350,Hybrid-Phase Synthesis,Oligo & Peptide,Peptide Synthesis CDMO Services.,"Our Tokai facility manufactures high-purity oligonucleotides and peptides at scale using our proprietary AJIPHASE® technology — plus ADCs, AOCs, DACs and GLP-1 analogs. It’s where breakthrough modalities meet manufacturing certainty.",Manufacture at scale with our AJIPHASE team.,"1730 Hinaga-Cho, Yokkaichi-City, Mie-Prefecture 510-0885, Japan",assets/photos/AJI%20Tokai%20Site.jpg,https://vimeo.com/1176299017/f34ac971d5?fl=ip&fe=ec,Scientific Innovation,Specialized Expertise,Sustainability,Operational Excellence,GMP Peptide Manufacturing,vial,"Unlike traditional solid-phase peptide synthesis, AJIPHASE™ performs synthesis in solution using standard chemical reactors, supporting efficient scale-up while reducing solvent and reagent consumption. This approach enables scalable peptide manufacturing from development through cGMP production and is well suited for complex and high-volume peptide therapeutics.",GLP-1 Analog Manufacturing,vial,AJIPHASE™ supports GLP-1 manufacturing through fragment-based synthesis strategies that improve process efficiency and enable scale-up beyond conventional solid-phase approaches. ,PMO Conjugates,microscope,"We offer integrated peptide and oligonucleotide manufacturing capabilities, providing a single partner for the development and cGMP supply of complex PPMO programs.",Analytical Development,microscope,"We provide integrated analytical development, quality control, and CMC support through dedicated in-house. Capabilities include method development and validation, impurity characterization, stability studies, and release testing using advanced analytical technologies. ",,,,,,
india,,2,india,17.686,83.218,HPAPI,Small Molecule,"Visakhapatnam, India",India,225,cGMP Manufacturing,Intermediates,"Reliable Supply, Global Reach.","Our Visak site strengthens Ajinomoto Bio-Pharma’s small-molecule and peptides network with intermediate manufacturing — the same demanding chemistry, high-potency capability, and continuous-flow expertise that define our Wetteren operations, now with added global capacity.",Add capacity to your supply with our Visak team.,"Plot No. 121 (part) & 122, Visakha Pharmacity Ltd, SEZ, Parawada, Anakapalli, Andhra Pradesh 531019, India",assets/photos/001-campus-aerial-enhanced.png,,Operational Excellence,Rigorous Quality Commitment,Sustainability,,Commercial Scale Manufacturing,bioreactor,"Ajinomoto Bio-Pharma Service acts as one integrated partner across the small molecule lifecycle. The majority of our activities support Phase III and commercial products, where reliability, compliance and supply continuity are critical.",High Potency API Manufacturing,bioreactor,"Dedicated HPAPI suites — physically separated from non-potent operations — combine advanced engineering controls, rigorous operational procedures and specialized operator training into one integrated protection system.",,,,,,,,,,,,
protein,R&D,6,japan,35.5186,139.7363,,Protein,"Kawasaki, Japan",Japan,275,Protein Expression,Protein,Microbial Protein and Peptide Expression,Corynex is our innovative secretion platform based on the endotoxin-free gram-positive bacteria C. glutamicum. It has a successful track record of being used to support many clients’ clinical studies.,Start a custom manufacturing conversation with our Protein Expression team.,"1-1 Suzuki-cho, Kawasaki-ku, Kawasaki-shi, Kanagawa 210-8681, Japan",assets/photos/Kawasaki%20with%20edits%20-%20feb%2010%202026.00_00_02_05.jpg,https://vimeo.com/1174768410/a795273d46?fl=ip&fe=ec,,,,,Strain Development,microscope,Strain engineering for client's target protein sequence. Expression and secretion confirmation. Initial titer and purity data. Non-GMP. Aji fee-for-service.,Fermentation,vial,"Corynebacterium glutamicum fermentation — Client's target protein secreted into culture medium in active form. No lysis, no inclusion body isolation.",Process Development,vial,USP and DSP optimization. Analytical method development. Scale-up strategy aligned with target GMP facility. ,GMP Manufacturing,vial,Clinical and commercial GMP batches manufactured at Aji Bio-Pharma's partner CDMOs under Aji Bio-Pharma’s process oversight.,Analytical Development,microscope,"Identity, purity, potency, endotoxin, and stability. CoA issued. Ready for non-clinical or clinical use.",,,
